tensor(0.7402, device='cuda:0')
tensor(0.7581, device='cuda:0')
tensor(0.7406, device='cuda:0')
tensor(0.7053, device='cuda:0')
tensor(0.7040, device='cuda:0')
tensor(0.7455, device='cuda:0')
tensor(0.7757, device='cuda:0')
tensor(0.7666, device='cuda:0')
tensor(0.8130, device='cuda:0')
tensor(0.6638, device='cuda:0')
tensor(0.7333, device='cuda:0')
tensor(0.8419, device='cuda:0')
tensor(0.6780, device='cuda:0')
tensor(0.8045, device='cuda:0')
tensor(0.7991, device='cuda:0')
tensor(0.6994, device='cuda:0')
tensor(0.7356, device='cuda:0')
tensor(0.7061, device='cuda:0')
tensor(0.8395, device='cuda:0')
tensor(0.6702, device='cuda:0')
tensor(0.7925, device='cuda:0')
tensor(0.7854, device='cuda:0')
tensor(0.7045, device='cuda:0')
tensor(0.7391, device='cuda:0')
tensor(0.7971, device='cuda:0')
tensor(0.7559, device='cuda:0')
tensor(0.7427, device='cuda:0')
tensor(0.7034, device='cuda:0')
tensor(0.7799, device='cuda:0')
tensor(0.7101, device='cuda:0')
tensor(0.7681, device='cuda:0')
tensor(0.7665, device='cuda:0')
tensor(0.7202, device='cuda:0')
tensor(0.7220, device='cuda:0')
tensor(0.7341, device='cuda:0')
tensor(0.7266, device='cuda:0')
tensor(0.6922, device='cuda:0')
tensor(0.7191, device='cuda:0')
tensor(0.8621, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7851, device='cuda:0')
tensor(0.6920, device='cuda:0')
tensor(0.8025, device='cuda:0')
tensor(0.6785, device='cuda:0')
tensor(0.7872, device='cuda:0')
tensor(0.6997, device='cuda:0')
tensor(0.8098, device='cuda:0')
tensor(0.7614, device='cuda:0')
tensor(0.7893, device='cuda:0')
tensor(0.6832, device='cuda:0')
tensor(0.7615, device='cuda:0')
tensor(0.7557, device='cuda:0')
tensor(0.8159, device='cuda:0')
tensor(0.7452, device='cuda:0')
tensor(0.7372, device='cuda:0')
tensor(0.7888, device='cuda:0')
tensor(0.7307, device='cuda:0')
tensor(0.8160, device='cuda:0')
tensor(0.7071, device='cuda:0')
tensor(0.7546, device='cuda:0')
tensor(0.7547, device='cuda:0')
tensor(0.7773, device='cuda:0')
tensor(0.8576, device='cuda:0')
tensor(0.7707, device='cuda:0')
tensor(0.7263, device='cuda:0')
tensor(0.7864, device='cuda:0')
tensor(0.8161, device='cuda:0')
tensor(0.7856, device='cuda:0')
tensor(0.6813, device='cuda:0')
tensor(0.7887, device='cuda:0')
tensor(0.7102, device='cuda:0')
tensor(0.8226, device='cuda:0')
tensor(0.7861, device='cuda:0')
tensor(0.7180, device='cuda:0')
tensor(0.7642, device='cuda:0')
tensor(0.7524, device='cuda:0')
tensor(0.8067, device='cuda:0')
tensor(0.7201, device='cuda:0')
tensor(0.7685, device='cuda:0')
tensor(0.7765, device='cuda:0')
tensor(0.7796, device='cuda:0')
tensor(0.7749, device='cuda:0')
tensor(0.8242, device='cuda:0')
tensor(0.8379, device='cuda:0')
tensor(0.7093, device='cuda:0')
tensor(0.7551, device='cuda:0')
tensor(0.7402, device='cuda:0')
tensor(0.8355, device='cuda:0')
tensor(0.7981, device='cuda:0')
tensor(0.8223, device='cuda:0')
tensor(0.8957, device='cuda:0')
tensor(0.6709, device='cuda:0')
tensor(0.7189, device='cuda:0')
tensor(0.7427, device='cuda:0')
tensor(0.8376, device='cuda:0')
tensor(0.8390, device='cuda:0')
tensor(0.7054, device='cuda:0')
tensor(0.8098, device='cuda:0')
tensor(0.6933, device='cuda:0')
tensor(0.8082, device='cuda:0')
tensor(0.8012, device='cuda:0')
tensor(0.8587, device='cuda:0')
tensor(0.6615, device='cuda:0')
tensor(0.8619, device='cuda:0')
tensor(0.8125, device='cuda:0')
tensor(0.7501, device='cuda:0')
tensor(0.8061, device='cuda:0')
tensor(0.7123, device='cuda:0')
tensor(0.8408, device='cuda:0')
tensor(0.7917, device='cuda:0')
tensor(0.7887, device='cuda:0')
tensor(0.8330, device='cuda:0')
tensor(0.9012, device='cuda:0')
tensor(0.7629, device='cuda:0')
tensor(0.8083, device='cuda:0')
tensor(0.7234, device='cuda:0')
tensor(0.7872, device='cuda:0')
tensor(0.7764, device='cuda:0')
tensor(0.7635, device='cuda:0')
tensor(0.7973, device='cuda:0')
tensor(0.7777, device='cuda:0')
tensor(0.7478, device='cuda:0')
tensor(0.8147, device='cuda:0')
tensor(0.6907, device='cuda:0')
tensor(0.8298, device='cuda:0')
tensor(0.7598, device='cuda:0')
tensor(0.8499, device='cuda:0')
tensor(0.7104, device='cuda:0')
tensor(0.8472, device='cuda:0')
tensor(0.7510, device='cuda:0')
tensor(0.8687, device='cuda:0')
tensor(0.8849, device='cuda:0')
tensor(0.7289, device='cuda:0')
tensor(0.8777, device='cuda:0')
tensor(0.8398, device='cuda:0')
tensor(0.7848, device='cuda:0')
tensor(0.8102, device='cuda:0')
tensor(0.7831, device='cuda:0')
tensor(0.9306, device='cuda:0')
tensor(0.8026, device='cuda:0')
tensor(0.8220, device='cuda:0')
tensor(0.7668, device='cuda:0')
tensor(0.8741, device='cuda:0')
tensor(0.8160, device='cuda:0')
tensor(0.8526, device='cuda:0')
tensor(0.8964, device='cuda:0')
tensor(0.7606, device='cuda:0')
tensor(0.7901, device='cuda:0')
tensor(0.8232, device='cuda:0')
tensor(0.8056, device='cuda:0')
tensor(0.8106, device='cuda:0')
tensor(0.7832, device='cuda:0')
tensor(0.8032, device='cuda:0')
tensor(0.7649, device='cuda:0')
tensor(0.8449, device='cuda:0')
tensor(0.8228, device='cuda:0')
tensor(0.8457, device='cuda:0')
tensor(0.8436, device='cuda:0')
tensor(0.8696, device='cuda:0')
tensor(0.8005, device='cuda:0')
tensor(0.7614, device='cuda:0')
tensor(0.8399, device='cuda:0')
tensor(0.8571, device='cuda:0')
tensor(0.8367, device='cuda:0')
tensor(0.7955, device='cuda:0')
tensor(0.7593, device='cuda:0')
tensor(0.8446, device='cuda:0')
tensor(0.7723, device='cuda:0')
tensor(0.7848, device='cuda:0')
tensor(0.8353, device='cuda:0')
tensor(0.8349, device='cuda:0')
tensor(0.7844, device='cuda:0')
tensor(0.8226, device='cuda:0')
tensor(0.8977, device='cuda:0')
tensor(0.7561, device='cuda:0')
tensor(0.7415, device='cuda:0')
tensor(0.8783, device='cuda:0')
tensor(0.7785, device='cuda:0')
tensor(0.9311, device='cuda:0')
tensor(0.7874, device='cuda:0')
tensor(0.8424, device='cuda:0')
tensor(0.8350, device='cuda:0')
tensor(0.7140, device='cuda:0')
tensor(0.8443, device='cuda:0')
tensor(0.7582, device='cuda:0')
tensor(0.9546, device='cuda:0')
tensor(0.8826, device='cuda:0')
tensor(0.9156, device='cuda:0')
tensor(0.7460, device='cuda:0')
tensor(0.8639, device='cuda:0')
tensor(0.8379, device='cuda:0')
tensor(0.8014, device='cuda:0')
tensor(0.7749, device='cuda:0')
tensor(0.8087, device='cuda:0')
tensor(0.8139, device='cuda:0')
tensor(0.8715, device='cuda:0')
tensor(0.8820, device='cuda:0')
tensor(0.7543, device='cuda:0')
tensor(0.8836, device='cuda:0')
tensor(0.8811, device='cuda:0')
tensor(0.8005, device='cuda:0')
tensor(0.7859, device='cuda:0')
tensor(0.8674, device='cuda:0')
tensor(0.8157, device='cuda:0')
tensor(0.8688, device='cuda:0')
tensor(0.8869, device='cuda:0')
tensor(0.8310, device='cuda:0')
tensor(0.7925, device='cuda:0')
tensor(0.7804, device='cuda:0')
tensor(0.7851, device='cuda:0')
tensor(0.7407, device='cuda:0')
tensor(0.8149, device='cuda:0')
tensor(0.8799, device='cuda:0')
tensor(0.8536, device='cuda:0')
tensor(0.8111, device='cuda:0')
tensor(0.8021, device='cuda:0')
tensor(0.9182, device='cuda:0')
tensor(0.7821, device='cuda:0')
tensor(0.8979, device='cuda:0')
tensor(0.8855, device='cuda:0')
tensor(0.7859, device='cuda:0')
tensor(0.8113, device='cuda:0')
tensor(0.8005, device='cuda:0')
tensor(0.7478, device='cuda:0')
tensor(0.8943, device='cuda:0')
tensor(0.7681, device='cuda:0')
tensor(0.8619, device='cuda:0')
tensor(0.8757, device='cuda:0')
tensor(0.8738, device='cuda:0')
tensor(0.8356, device='cuda:0')
tensor(0.9538, device='cuda:0')
tensor(0.8369, device='cuda:0')
tensor(0.7710, device='cuda:0')
tensor(0.8400, device='cuda:0')
tensor(0.8205, device='cuda:0')
tensor(0.7677, device='cuda:0')
tensor(0.9016, device='cuda:0')
tensor(0.7747, device='cuda:0')
tensor(0.8329, device='cuda:0')
tensor(0.8219, device='cuda:0')
tensor(0.8317, device='cuda:0')
tensor(0.8562, device='cuda:0')
tensor(0.9184, device='cuda:0')
tensor(0.8183, device='cuda:0')
tensor(0.7242, device='cuda:0')
tensor(0.8217, device='cuda:0')
tensor(0.8650, device='cuda:0')
tensor(0.7931, device='cuda:0')
tensor(0.9495, device='cuda:0')
tensor(0.8395, device='cuda:0')
tensor(0.8571, device='cuda:0')
tensor(0.8337, device='cuda:0')
tensor(0.8385, device='cuda:0')
tensor(0.8013, device='cuda:0')
tensor(0.8116, device='cuda:0')
tensor(0.9023, device='cuda:0')
tensor(0.8583, device='cuda:0')
tensor(0.9318, device='cuda:0')
tensor(0.8304, device='cuda:0')
tensor(0.8437, device='cuda:0')
tensor(0.8340, device='cuda:0')
tensor(0.7947, device='cuda:0')
tensor(0.8325, device='cuda:0')
tensor(0.9837, device='cuda:0')
tensor(0.8524, device='cuda:0')
tensor(0.9093, device='cuda:0')
tensor(0.7326, device='cuda:0')
tensor(0.8108, device='cuda:0')
tensor(0.8497, device='cuda:0')
tensor(0.8420, device='cuda:0')
tensor(0.8636, device='cuda:0')
tensor(0.8876, device='cuda:0')
tensor(0.8661, device='cuda:0')
tensor(0.8361, device='cuda:0')
tensor(0.8718, device='cuda:0')
tensor(0.7997, device='cuda:0')
tensor(0.7972, device='cuda:0')
tensor(0.9062, device='cuda:0')
tensor(0.9413, device='cuda:0')
tensor(0.8173, device='cuda:0')
tensor(0.9354, device='cuda:0')
tensor(0.8635, device='cuda:0')
tensor(0.9419, device='cuda:0')
tensor(0.8389, device='cuda:0')
tensor(0.8753, device='cuda:0')
tensor(0.8299, device='cuda:0')
tensor(0.8247, device='cuda:0')
tensor(0.8637, device='cuda:0')
tensor(0.8796, device='cuda:0')
tensor(0.8841, device='cuda:0')
tensor(0.8410, device='cuda:0')
tensor(0.8955, device='cuda:0')
tensor(0.9402, device='cuda:0')
tensor(0.8372, device='cuda:0')
tensor(0.7909, device='cuda:0')
tensor(0.9314, device='cuda:0')
tensor(0.8533, device='cuda:0')
tensor(0.8213, device='cuda:0')
tensor(0.8370, device='cuda:0')
tensor(0.8285, device='cuda:0')
tensor(0.8940, device='cuda:0')
tensor(0.9558, device='cuda:0')
tensor(0.8003, device='cuda:0')
tensor(0.7749, device='cuda:0')
tensor(0.9935, device='cuda:0')
tensor(0.8449, device='cuda:0')
tensor(0.8549, device='cuda:0')
tensor(0.8996, device='cuda:0')
tensor(0.8988, device='cuda:0')
tensor(0.9182, device='cuda:0')
tensor(0.8188, device='cuda:0')
tensor(0.8689, device='cuda:0')
tensor(0.9666, device='cuda:0')
tensor(0.8638, device='cuda:0')
tensor(0.8682, device='cuda:0')
