tensor(3307.6218, device='cuda:0')
tensor(3300.2493, device='cuda:0')
tensor(3312.2864, device='cuda:0')
tensor(3289.8528, device='cuda:0')
tensor(3290.6770, device='cuda:0')
tensor(3294.7949, device='cuda:0')
tensor(3310.5820, device='cuda:0')
tensor(3304.0613, device='cuda:0')
tensor(3307.8098, device='cuda:0')
tensor(3294.0659, device='cuda:0')
tensor(3320.6963, device='cuda:0')
tensor(3311.3303, device='cuda:0')
tensor(3280.0952, device='cuda:0')
tensor(3280.6748, device='cuda:0')
tensor(3280.7922, device='cuda:0')
tensor(3291.6956, device='cuda:0')
tensor(3289.8022, device='cuda:0')
tensor(3288.3491, device='cuda:0')
tensor(3315.6750, device='cuda:0')
tensor(3295.9019, device='cuda:0')
tensor(3298.4023, device='cuda:0')
tensor(3289.4875, device='cuda:0')
tensor(3294.5374, device='cuda:0')
tensor(3291.6841, device='cuda:0')
tensor(3284.3540, device='cuda:0')
tensor(3319.3015, device='cuda:0')
tensor(3310.5952, device='cuda:0')
tensor(3290.7646, device='cuda:0')
tensor(3290.0898, device='cuda:0')
tensor(3299.7822, device='cuda:0')
tensor(3287.9263, device='cuda:0')
tensor(3295.3977, device='cuda:0')
tensor(3300.0642, device='cuda:0')
tensor(3286.9946, device='cuda:0')
tensor(3288.8906, device='cuda:0')
tensor(3300.4238, device='cuda:0')
tensor(3311.9490, device='cuda:0')
tensor(3290.7134, device='cuda:0')
tensor(3300.7500, device='cuda:0')
tensor(3286.6360, device='cuda:0')
tensor(3295.9119, device='cuda:0')
tensor(3295.7109, device='cuda:0')
tensor(3289.5281, device='cuda:0')
tensor(3273.8496, device='cuda:0')
tensor(3288.7798, device='cuda:0')
tensor(3297.7754, device='cuda:0')
tensor(3279.5925, device='cuda:0')
tensor(3280.2283, device='cuda:0')
tensor(3297.0720, device='cuda:0')
tensor(3308.3884, device='cuda:0')
tensor(3302.1497, device='cuda:0')
tensor(3304.4731, device='cuda:0')
tensor(3313.8298, device='cuda:0')
tensor(3285.3364, device='cuda:0')
tensor(3290.8970, device='cuda:0')
tensor(3282.7661, device='cuda:0')
tensor(3306.1963, device='cuda:0')
tensor(3300.1421, device='cuda:0')
tensor(3292.8721, device='cuda:0')
tensor(3292.9250, device='cuda:0')
tensor(3312.1746, device='cuda:0')
tensor(3291.4636, device='cuda:0')
tensor(3283.1997, device='cuda:0')
tensor(3283.1365, device='cuda:0')
tensor(3273.4963, device='cuda:0')
tensor(3303.1543, device='cuda:0')
tensor(3287.7903, device='cuda:0')
tensor(3294.6001, device='cuda:0')
tensor(3289.6086, device='cuda:0')
tensor(3288.8528, device='cuda:0')
tensor(3301.7725, device='cuda:0')
tensor(3282.6577, device='cuda:0')
tensor(3329.1643, device='cuda:0')
tensor(3287.3691, device='cuda:0')
tensor(3290.3530, device='cuda:0')
tensor(3301.9578, device='cuda:0')
tensor(3296.3489, device='cuda:0')
tensor(3295.2498, device='cuda:0')
tensor(3309.0854, device='cuda:0')
tensor(3301.4700, device='cuda:0')
tensor(3280.4626, device='cuda:0')
tensor(3291.7117, device='cuda:0')
tensor(3297.6006, device='cuda:0')
tensor(3278.0012, device='cuda:0')
